region,crop,year,target_yield_centner_per_ha,sown_area,gross_harvest,dry_days_04,dry_days_05,dry_days_06,dry_days_07,dry_days_08,dry_days_09,hot_days_04,hot_days_05,hot_days_06,hot_days_07,hot_days_08,hot_days_09,humidity_mean_04,humidity_mean_05,humidity_mean_06,humidity_mean_07,humidity_mean_08,humidity_mean_09,precip_sum_04,precip_sum_05,precip_sum_06,precip_sum_07,precip_sum_08,precip_sum_09,rain_days_04,rain_days_05,rain_days_06,rain_days_07,rain_days_08,rain_days_09,rain_sum_04,rain_sum_05,rain_sum_06,rain_sum_07,rain_sum_08,rain_sum_09,temp_max_04,temp_max_05,temp_max_06,temp_max_07,temp_max_08,temp_max_09,temp_mean_04,temp_mean_05,temp_mean_06,temp_mean_07,temp_mean_08,temp_mean_09,temp_min_04,temp_min_05,temp_min_06,temp_min_07,temp_min_08,temp_min_09,season_temp_mean,season_temp_max,season_temp_min,season_precip_sum,season_rain_sum,season_humidity_mean,season_hot_days,season_dry_days,season_rain_days,mineral_fertilizers_centner,mineral_fertilizers_tons,mineral_fertilizers_cumulative_centner,fertilizer_municipality_count,fertilizer_records_count,valid_fertilizer_values_count,beet_harvesters_count,corn_harvesters_count,flax_harvesters_count,forage_harvesters_count,grain_harvesters_count,potato_harvesters_count,tractors_count,tech_municipality_count,tech_records_count,agricultural_machinery_total_count
Агинский Бурятский округ (Забайкальский край),картофель,2005,55.0,1.07,58.65,21.0,22.0,18.0,20.0,25.0,23.0,0.0,0.0,8.0,10.0,12.0,0.0,43.97,52.26,57.2,65.71,53.77,62.83,35.7,55.2,59.1,67.8,27.2,55.4,9.0,9.0,12.0,11.0,6.0,7.0,10.6,46.9,59.1,67.8,27.2,54.7,18.9,25.8,32.2,32.5,35.1,24.6,2.37,9.67,18.36,20.55,19.21,11.35,-9.3,-3.8,5.5,12.0,3.8,-0.8,13.63,35.1,-9.3,300.4,266.3,55.98,30,129,54,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),картофель,2006,47.0,1.04,48.28,22.0,25.0,17.0,24.0,21.0,23.0,0.0,1.0,5.0,15.0,7.0,0.0,40.6,41.94,60.9,52.58,60.77,59.9,27.3,33.0,58.6,24.7,63.8,34.4,8.0,6.0,13.0,7.0,10.0,7.0,1.0,23.1,58.6,24.7,63.8,34.4,16.0,27.2,30.8,31.3,33.3,26.8,-0.23,9.82,16.23,21.24,17.38,11.36,-16.4,-2.6,3.5,9.1,4.2,-0.8,12.69,33.3,-16.4,241.8,205.6,52.77,28,132,51,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),картофель,2007,54.2,1.41,76.26,28.0,26.0,21.0,22.0,23.0,26.0,0.0,0.0,11.0,18.0,15.0,4.0,37.67,43.97,47.27,54.65,57.77,55.07,3.5,52.4,59.1,35.5,85.9,8.9,2.0,5.0,9.0,9.0,8.0,4.0,1.7,38.8,59.1,35.5,85.9,8.9,24.1,26.6,36.6,35.0,32.7,28.2,4.31,11.67,19.23,21.93,20.36,13.45,-12.6,-0.6,5.7,9.7,6.1,1.8,15.2,36.6,-12.6,245.3,229.9,49.44,48,146,37,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2000,36.7,,,28.0,26.0,20.0,17.0,21.0,20.0,0.0,1.0,16.0,5.0,5.0,0.0,37.67,45.0,59.37,66.94,72.1,64.87,7.0,21.7,67.0,121.1,39.0,45.2,2.0,5.0,10.0,14.0,10.0,10.0,1.4,21.7,67.0,121.1,39.0,45.2,23.4,29.8,33.4,32.0,28.3,26.3,4.05,12.88,19.86,19.94,17.69,10.91,-8.5,-1.0,8.0,11.7,7.7,-3.3,14.27,33.4,-8.5,301.0,295.4,57.72,27,132,51,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2001,58.4,,,23.0,24.0,25.0,19.0,19.0,21.0,0.0,3.0,17.0,14.0,8.0,1.0,45.07,49.0,47.5,62.48,72.77,67.8,25.1,32.0,26.4,68.1,95.0,50.1,7.0,7.0,5.0,12.0,12.0,9.0,14.0,11.9,26.4,68.1,95.0,50.1,19.2,28.6,34.7,32.6,30.1,28.1,2.92,11.15,21.18,21.11,19.14,9.97,-8.1,-5.0,6.1,9.4,9.8,-2.9,14.29,34.7,-8.1,296.7,265.5,57.5,43,131,52,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2002,33.0,,,24.0,24.0,19.0,21.0,24.0,26.0,0.0,0.0,7.0,13.0,11.0,0.0,59.67,59.71,62.83,66.71,58.77,59.2,74.8,67.7,56.9,78.0,45.8,13.9,6.0,7.0,11.0,10.0,7.0,4.0,12.6,59.4,56.9,78.0,45.8,10.7,16.4,25.6,30.0,36.2,32.6,25.9,0.31,11.45,18.14,21.75,20.24,11.51,-13.3,-2.5,7.7,10.0,7.2,-0.6,13.97,36.2,-13.3,337.1,263.4,61.16,31,138,45,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2003,40.1,,,28.0,29.0,23.0,18.0,17.0,22.0,0.0,0.0,7.0,10.0,0.0,0.0,39.27,37.29,46.1,62.23,72.61,68.4,11.8,5.8,16.7,72.8,94.7,43.6,2.0,2.0,7.0,13.0,14.0,8.0,0.8,5.8,16.7,72.8,94.7,43.6,25.5,26.3,32.0,30.2,24.7,19.6,3.88,10.88,18.18,19.9,15.21,9.04,-5.8,-3.8,3.2,7.9,3.0,-0.7,12.89,32.0,-5.8,245.4,234.4,54.37,17,137,46,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2004,45.6,,,27.0,26.0,25.0,23.0,27.0,22.0,0.0,2.0,17.0,19.0,8.0,0.0,39.07,47.42,43.4,45.0,58.77,61.53,9.8,23.7,9.8,58.5,48.8,58.8,3.0,5.0,5.0,8.0,4.0,8.0,3.7,20.5,9.8,58.5,48.8,58.8,17.4,30.2,33.9,37.4,32.2,25.3,2.8,9.36,21.36,22.48,17.66,10.72,-7.2,-2.5,5.7,7.2,5.9,-2.5,14.1,37.4,-7.2,209.4,200.1,49.22,46,150,33,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2005,82.9,,,21.0,22.0,18.0,20.0,25.0,23.0,0.0,0.0,8.0,10.0,12.0,0.0,43.97,52.26,57.2,65.71,53.77,62.83,35.7,55.2,59.1,67.8,27.2,55.4,9.0,9.0,12.0,11.0,6.0,7.0,10.6,46.9,59.1,67.8,27.2,54.7,18.9,25.8,32.2,32.5,35.1,24.6,2.37,9.67,18.36,20.55,19.21,11.35,-9.3,-3.8,5.5,12.0,3.8,-0.8,13.63,35.1,-9.3,300.4,266.3,55.98,30,129,54,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),морковь столовая,2006,95.7,,,22.0,25.0,17.0,24.0,21.0,23.0,0.0,1.0,5.0,15.0,7.0,0.0,40.6,41.94,60.9,52.58,60.77,59.9,27.3,33.0,58.6,24.7,63.8,34.4,8.0,6.0,13.0,7.0,10.0,7.0,1.0,23.1,58.6,24.7,63.8,34.4,16.0,27.2,30.8,31.3,33.3,26.8,-0.23,9.82,16.23,21.24,17.38,11.36,-16.4,-2.6,3.5,9.1,4.2,-0.8,12.69,33.3,-16.4,241.8,205.6,52.77,28,132,51,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2000,44.1,,,28.0,26.0,20.0,17.0,21.0,20.0,0.0,1.0,16.0,5.0,5.0,0.0,37.67,45.0,59.37,66.94,72.1,64.87,7.0,21.7,67.0,121.1,39.0,45.2,2.0,5.0,10.0,14.0,10.0,10.0,1.4,21.7,67.0,121.1,39.0,45.2,23.4,29.8,33.4,32.0,28.3,26.3,4.05,12.88,19.86,19.94,17.69,10.91,-8.5,-1.0,8.0,11.7,7.7,-3.3,14.27,33.4,-8.5,301.0,295.4,57.72,27,132,51,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2001,36.9,,,23.0,24.0,25.0,19.0,19.0,21.0,0.0,3.0,17.0,14.0,8.0,1.0,45.07,49.0,47.5,62.48,72.77,67.8,25.1,32.0,26.4,68.1,95.0,50.1,7.0,7.0,5.0,12.0,12.0,9.0,14.0,11.9,26.4,68.1,95.0,50.1,19.2,28.6,34.7,32.6,30.1,28.1,2.92,11.15,21.18,21.11,19.14,9.97,-8.1,-5.0,6.1,9.4,9.8,-2.9,14.29,34.7,-8.1,296.7,265.5,57.5,43,131,52,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2002,35.9,,,24.0,24.0,19.0,21.0,24.0,26.0,0.0,0.0,7.0,13.0,11.0,0.0,59.67,59.71,62.83,66.71,58.77,59.2,74.8,67.7,56.9,78.0,45.8,13.9,6.0,7.0,11.0,10.0,7.0,4.0,12.6,59.4,56.9,78.0,45.8,10.7,16.4,25.6,30.0,36.2,32.6,25.9,0.31,11.45,18.14,21.75,20.24,11.51,-13.3,-2.5,7.7,10.0,7.2,-0.6,13.97,36.2,-13.3,337.1,263.4,61.16,31,138,45,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2003,34.2,,,28.0,29.0,23.0,18.0,17.0,22.0,0.0,0.0,7.0,10.0,0.0,0.0,39.27,37.29,46.1,62.23,72.61,68.4,11.8,5.8,16.7,72.8,94.7,43.6,2.0,2.0,7.0,13.0,14.0,8.0,0.8,5.8,16.7,72.8,94.7,43.6,25.5,26.3,32.0,30.2,24.7,19.6,3.88,10.88,18.18,19.9,15.21,9.04,-5.8,-3.8,3.2,7.9,3.0,-0.7,12.89,32.0,-5.8,245.4,234.4,54.37,17,137,46,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2004,40.6,,,27.0,26.0,25.0,23.0,27.0,22.0,0.0,2.0,17.0,19.0,8.0,0.0,39.07,47.42,43.4,45.0,58.77,61.53,9.8,23.7,9.8,58.5,48.8,58.8,3.0,5.0,5.0,8.0,4.0,8.0,3.7,20.5,9.8,58.5,48.8,58.8,17.4,30.2,33.9,37.4,32.2,25.3,2.8,9.36,21.36,22.48,17.66,10.72,-7.2,-2.5,5.7,7.2,5.9,-2.5,14.1,37.4,-7.2,209.4,200.1,49.22,46,150,33,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2005,57.7,,,21.0,22.0,18.0,20.0,25.0,23.0,0.0,0.0,8.0,10.0,12.0,0.0,43.97,52.26,57.2,65.71,53.77,62.83,35.7,55.2,59.1,67.8,27.2,55.4,9.0,9.0,12.0,11.0,6.0,7.0,10.6,46.9,59.1,67.8,27.2,54.7,18.9,25.8,32.2,32.5,35.1,24.6,2.37,9.67,18.36,20.55,19.21,11.35,-9.3,-3.8,5.5,12.0,3.8,-0.8,13.63,35.1,-9.3,300.4,266.3,55.98,30,129,54,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),огурцы,2006,56.6,,,22.0,25.0,17.0,24.0,21.0,23.0,0.0,1.0,5.0,15.0,7.0,0.0,40.6,41.94,60.9,52.58,60.77,59.9,27.3,33.0,58.6,24.7,63.8,34.4,8.0,6.0,13.0,7.0,10.0,7.0,1.0,23.1,58.6,24.7,63.8,34.4,16.0,27.2,30.8,31.3,33.3,26.8,-0.23,9.82,16.23,21.24,17.38,11.36,-16.4,-2.6,3.5,9.1,4.2,-0.8,12.69,33.3,-16.4,241.8,205.6,52.77,28,132,51,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2000,50.8,,,28.0,26.0,20.0,17.0,21.0,20.0,0.0,1.0,16.0,5.0,5.0,0.0,37.67,45.0,59.37,66.94,72.1,64.87,7.0,21.7,67.0,121.1,39.0,45.2,2.0,5.0,10.0,14.0,10.0,10.0,1.4,21.7,67.0,121.1,39.0,45.2,23.4,29.8,33.4,32.0,28.3,26.3,4.05,12.88,19.86,19.94,17.69,10.91,-8.5,-1.0,8.0,11.7,7.7,-3.3,14.27,33.4,-8.5,301.0,295.4,57.72,27,132,51,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2001,44.5,,,23.0,24.0,25.0,19.0,19.0,21.0,0.0,3.0,17.0,14.0,8.0,1.0,45.07,49.0,47.5,62.48,72.77,67.8,25.1,32.0,26.4,68.1,95.0,50.1,7.0,7.0,5.0,12.0,12.0,9.0,14.0,11.9,26.4,68.1,95.0,50.1,19.2,28.6,34.7,32.6,30.1,28.1,2.92,11.15,21.18,21.11,19.14,9.97,-8.1,-5.0,6.1,9.4,9.8,-2.9,14.29,34.7,-8.1,296.7,265.5,57.5,43,131,52,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2002,44.7,,,24.0,24.0,19.0,21.0,24.0,26.0,0.0,0.0,7.0,13.0,11.0,0.0,59.67,59.71,62.83,66.71,58.77,59.2,74.8,67.7,56.9,78.0,45.8,13.9,6.0,7.0,11.0,10.0,7.0,4.0,12.6,59.4,56.9,78.0,45.8,10.7,16.4,25.6,30.0,36.2,32.6,25.9,0.31,11.45,18.14,21.75,20.24,11.51,-13.3,-2.5,7.7,10.0,7.2,-0.6,13.97,36.2,-13.3,337.1,263.4,61.16,31,138,45,,,,,,,,,,,,,,,,
Агинский Бурятский округ (Забайкальский край),помидоры,2003,39.4,,,28.0,29.0,23.0,18.0,17.0,22.0,0.0,0.0,7.0,10.0,0.0,0.0,39.27,37.29,46.1,62.23,72.61,68.4,11.8,5.8,16.7,72.8,94.7,43.6,2.0,2.0,7.0,13.0,14.0,8.0,0.8,5.8,16.7,72.8,94.7,43.6,25.5,26.3,32.0,30.2,24.7,19.6,3.88,10.88,18.18,19.9,15.21,9.04,-5.8,-3.8,3.2,7.9,3.0,-0.7,12.89,32.0,-5.8,245.4,234.4,54.37,17,137,46,,,,,,,,,,,,,,,,
